Date,Open,High,Low,Close,Adj Close,Volume
2018-12-14,778.950012,782.000000,762.349976,767.750000,649.474365,9948
2018-12-17,772.000000,789.900024,771.349976,785.599976,664.574524,13018
2018-12-18,783.799988,796.000000,777.700012,784.599976,663.728577,10977
2018-12-19,790.000000,798.000000,780.000000,788.700012,667.197021,10311
2018-12-20,786.349976,800.000000,781.000000,784.049988,663.263306,13528
2018-12-21,784.349976,792.849976,780.000000,786.099976,664.997498,21807
2018-12-24,791.099976,791.099976,782.150024,786.150024,665.039795,7238
2018-12-26,775.000000,789.000000,775.000000,781.599976,661.190857,5133
2018-12-27,780.000000,792.200012,780.000000,788.500000,667.027710,6073
2018-12-28,781.150024,793.950012,781.150024,790.599976,668.804260,4204
2018-12-31,790.049988,825.299988,790.000000,806.849976,682.550903,29180
2019-01-01,806.049988,821.650024,791.700012,798.599976,675.571777,10509
2019-01-02,804.000000,814.000000,795.849976,799.900024,676.671631,11722
2019-01-03,799.900024,806.500000,789.400024,792.799988,670.665405,6684
2019-01-04,799.950012,828.000000,781.900024,814.700012,689.191528,162565
2019-01-07,797.000000,804.799988,783.950012,789.450012,667.831482,49834
2019-01-08,785.700012,798.849976,775.000000,789.500000,667.873779,27426
2019-01-09,789.900024,798.000000,779.049988,782.799988,662.205994,14364
2019-01-10,778.650024,787.950012,775.000000,775.849976,656.326599,12944
2019-01-11,780.000000,782.150024,773.250000,775.799988,656.284302,59449
2019-01-14,767.849976,777.849976,767.849976,772.549988,653.534973,8096
2019-01-15,775.349976,778.000000,770.000000,772.799988,653.746460,6055
2019-01-16,773.799988,784.000000,771.000000,775.000000,655.607544,143705
2019-01-17,774.000000,782.950012,774.000000,778.700012,658.737488,8805
2019-01-18,780.000000,791.750000,780.000000,784.500000,663.644043,14688
2019-01-21,777.000000,787.700012,774.000000,776.549988,656.918823,15373
2019-01-22,777.099976,781.000000,765.000000,766.200012,648.163269,3917
2019-01-23,770.549988,770.549988,753.000000,754.250000,638.054260,8980
2019-01-24,752.750000,758.950012,747.000000,747.900024,632.682495,6707
2019-01-25,749.099976,758.000000,738.650024,742.049988,627.733704,9527
2019-01-28,754.900024,754.900024,729.000000,732.799988,619.908752,7598
2019-01-29,735.000000,735.049988,723.250000,725.900024,614.071655,6732
2019-01-30,727.000000,737.750000,710.049988,716.799988,606.373535,10656
2019-01-31,715.000000,719.599976,709.000000,710.900024,601.382446,7497
2019-02-01,711.049988,747.950012,703.000000,705.500000,596.814331,29348
2019-02-04,708.299988,708.299988,687.599976,690.099976,583.786743,10533
2019-02-05,699.000000,699.000000,667.799988,674.750000,570.801575,10284
2019-02-06,675.299988,680.250000,655.500000,658.799988,557.308655,13741
2019-02-07,667.900024,671.799988,648.150024,652.650024,552.106140,19407
2019-02-08,650.900024,655.750000,636.049988,650.000000,549.864441,16152
2019-02-11,659.000000,667.900024,650.000000,659.650024,558.027832,13954
2019-02-12,661.000000,661.049988,637.000000,639.200012,540.728210,14129
2019-02-14,631.599976,638.950012,621.049988,623.799988,527.700623,12581
2019-02-15,627.750000,662.200012,618.250000,624.049988,527.912048,28468
2019-02-18,629.049988,629.799988,610.049988,614.099976,519.494934,37174
2019-02-19,611.549988,623.950012,611.349976,617.799988,522.625000,7526
2019-02-20,624.000000,626.950012,616.950012,618.250000,523.005615,10232
2019-02-21,632.000000,694.900024,632.000000,666.200012,563.568726,105157
2019-02-22,667.000000,693.000000,654.000000,661.000000,559.169800,48152
2019-02-25,661.200012,664.900024,650.000000,651.250000,550.921875,13685
2019-02-26,650.000000,676.950012,638.000000,652.400024,551.894653,39364
2019-02-27,655.000000,672.500000,648.000000,657.400024,556.124451,70280
2019-02-28,665.000000,670.000000,650.000000,652.799988,552.233093,56878
2019-03-01,657.250000,675.000000,655.000000,670.750000,567.417664,36976
2019-03-05,674.000000,695.000000,667.950012,685.150024,579.599365,31197
2019-03-06,690.000000,704.000000,685.099976,689.450012,583.236877,19788
2019-03-07,697.799988,697.799988,675.000000,678.700012,574.143066,11769
2019-03-08,679.000000,679.750000,661.549988,665.000000,562.553650,13132
2019-03-11,671.849976,680.950012,665.150024,678.450012,573.931519,13033
2019-03-12,694.000000,700.900024,689.450012,691.900024,585.309448,31018
2019-03-13,698.000000,698.000000,675.099976,678.799988,574.227600,20432
2019-03-14,682.000000,685.000000,675.000000,676.900024,572.620361,14139
2019-03-15,673.849976,685.000000,672.099976,674.099976,570.251709,17387
2019-03-18,675.000000,718.000000,675.000000,699.750000,591.950134,160415
2019-03-19,706.000000,715.599976,702.000000,709.900024,600.536621,55814
2019-03-20,709.099976,718.799988,709.099976,711.400024,601.805481,29061
2019-03-22,715.000000,715.000000,707.000000,707.950012,598.886902,23855
2019-03-25,707.950012,715.000000,706.799988,712.849976,603.032043,30448
2019-03-26,718.650024,724.150024,713.549988,722.000000,610.772461,38217
2019-03-27,724.950012,777.000000,722.000000,739.650024,625.703430,182560
2019-03-28,740.000000,740.000000,699.349976,721.150024,626.833435,35567
2019-04-01,702.000000,729.500000,702.000000,712.450012,619.271118,36472
2019-04-02,721.799988,721.799988,708.000000,715.150024,621.618042,23960
2019-04-03,716.000000,723.500000,710.500000,715.000000,621.487671,17340
2019-04-04,715.000000,718.900024,708.000000,711.849976,618.749695,15126
2019-04-05,711.000000,719.799988,704.750000,712.950012,619.705811,19687
2019-04-08,711.000000,716.000000,705.099976,713.650024,620.314209,17904
2019-04-09,710.000000,715.500000,708.099976,714.150024,620.748901,12047
2019-04-10,705.200012,716.000000,705.200012,714.200012,620.792297,12954
2019-04-11,712.000000,728.799988,712.000000,716.700012,622.965271,20029
2019-04-12,716.900024,720.299988,708.099976,710.549988,617.619690,7947
2019-04-15,717.250000,717.250000,705.000000,707.500000,614.968628,9566
2019-04-16,708.500000,712.250000,707.000000,708.400024,615.750916,5369
2019-04-18,707.000000,710.000000,697.049988,699.849976,608.319092,10061
2019-04-22,695.000000,719.799988,684.000000,685.599976,595.932861,8758
2019-04-23,688.000000,692.750000,678.099976,679.700012,590.804443,6884
2019-04-24,679.700012,688.700012,676.099976,679.000000,590.195984,7032
2019-04-25,687.000000,687.000000,675.000000,677.549988,588.935669,7039
2019-04-26,684.900024,686.099976,670.000000,677.700012,589.065979,9810
2019-04-30,673.000000,678.000000,665.250000,667.849976,580.504272,9424
2019-05-02,667.099976,670.349976,645.000000,662.299988,575.680176,7566
2019-05-03,661.000000,667.049988,643.349976,652.750000,567.379150,17459
2019-05-06,650.000000,657.700012,643.000000,647.250000,562.598511,8877
2019-05-07,650.000000,656.599976,644.000000,646.849976,562.250793,4981
2019-05-08,648.900024,648.900024,631.799988,638.349976,554.862488,7166
2019-05-09,632.200012,649.500000,631.000000,640.599976,556.818237,11007
2019-05-10,646.950012,646.950012,635.000000,640.500000,556.731323,5015
2019-05-13,636.000000,640.599976,627.250000,629.599976,547.256775,5416
2019-05-14,625.000000,638.349976,620.849976,634.200012,551.255188,8451
2019-05-15,631.200012,649.000000,626.500000,632.700012,549.951416,11191
2019-05-16,631.150024,642.000000,628.000000,636.599976,553.341309,11545
2019-05-17,638.500000,645.000000,635.000000,636.549988,553.297913,7592
2019-05-20,650.099976,671.349976,646.000000,653.150024,567.726807,28124
2019-05-21,650.000000,658.900024,643.150024,645.549988,561.120850,8244
2019-05-22,646.549988,675.000000,646.150024,659.900024,573.594116,63110
2019-05-23,669.000000,684.700012,658.849976,668.400024,580.982361,26634
2019-05-24,669.049988,698.000000,666.049988,678.799988,590.022217,60016
2019-05-27,684.799988,708.400024,683.299988,705.400024,613.143311,46132
2019-05-28,730.000000,741.000000,711.299988,722.000000,627.572266,85631
2019-05-29,728.000000,733.900024,710.000000,716.500000,622.791504,52107
2019-05-30,725.000000,725.000000,708.500000,718.450012,624.486450,11640
2019-05-31,720.000000,720.099976,708.000000,710.299988,617.402344,18759
2019-06-03,710.000000,758.000000,700.000000,740.000000,643.218018,384904
2019-06-04,732.000000,739.900024,722.000000,724.150024,629.441040,13780
2019-06-06,727.000000,730.000000,705.299988,710.650024,617.706604,10235
2019-06-07,720.049988,722.000000,707.500000,713.650024,620.314209,7864
2019-06-10,715.099976,719.049988,693.150024,701.150024,609.449036,7535
2019-06-11,701.049988,713.799988,690.000000,705.700012,613.403992,9030
2019-06-12,717.000000,717.000000,694.000000,699.500000,608.014893,7266
2019-06-13,699.000000,699.000000,690.000000,692.950012,602.321533,6761
2019-06-14,693.400024,698.900024,683.650024,686.450012,596.671631,4778
2019-06-17,682.099976,690.200012,682.099976,684.549988,595.020142,6546
2019-06-18,681.049988,690.099976,681.049988,683.650024,594.237854,5414
2019-06-19,683.650024,688.750000,670.000000,675.650024,587.284180,8135
2019-06-20,671.000000,694.849976,671.000000,689.500000,599.322754,4526
2019-06-21,689.799988,703.049988,681.000000,699.349976,607.884460,16844
2019-06-24,700.000000,710.000000,698.900024,700.700012,609.057922,7870
2019-06-25,709.700012,749.000000,700.000000,720.299988,626.094482,521377
2019-06-26,725.000000,725.000000,711.549988,713.750000,620.401184,8058
2019-06-27,712.000000,719.700012,706.250000,715.599976,622.009216,7750
2019-06-28,718.000000,739.000000,707.150024,714.500000,621.053101,34261
2019-07-01,711.500000,718.950012,705.000000,708.250000,615.620483,7354
2019-07-02,710.900024,710.900024,692.500000,703.450012,611.448364,8777
2019-07-03,705.000000,710.000000,701.000000,707.549988,615.012024,4426
2019-07-04,705.000000,714.299988,705.000000,711.650024,618.575806,5784
2019-07-05,715.000000,729.000000,680.000000,695.150024,604.233765,27711
2019-07-08,688.500000,696.950012,675.049988,676.599976,588.109741,7486
2019-07-09,677.950012,684.799988,672.000000,677.750000,589.109497,5633
2019-07-10,675.049988,679.599976,665.299988,670.900024,583.155457,4161
2019-07-11,668.000000,684.599976,668.000000,678.450012,589.717957,5707
2019-07-12,672.549988,682.950012,670.000000,674.549988,586.327942,7014
2019-07-15,675.049988,682.150024,668.099976,675.150024,586.849548,6889
2019-07-16,675.150024,680.900024,672.000000,676.450012,587.979492,6061
2019-07-17,682.900024,682.900024,673.349976,675.099976,586.805969,4252
2019-07-18,675.099976,681.500000,671.000000,675.250000,586.936462,7995
2019-07-19,673.000000,678.750000,672.349976,675.049988,586.762634,8369
2019-07-22,670.000000,680.000000,670.000000,673.900024,585.763062,11767
2019-07-23,676.150024,676.549988,671.400024,674.500000,586.284424,4285
2019-07-24,671.200012,678.250000,671.049988,673.000000,584.980652,4658
2019-07-25,667.000000,675.000000,667.000000,672.799988,584.806885,4199
2019-07-26,677.000000,688.000000,673.500000,675.950012,587.544922,13994
2019-07-29,675.000000,688.000000,674.849976,675.250000,586.936462,5352
2019-07-30,671.000000,678.950012,671.000000,674.650024,586.414917,6375
2019-07-31,667.099976,674.000000,660.000000,661.250000,574.767456,5336
2019-08-01,659.900024,661.150024,648.000000,651.900024,566.640320,4369
2019-08-02,641.000000,651.500000,640.000000,642.799988,558.730408,5925
2019-08-05,642.799988,642.799988,626.000000,630.349976,547.908630,5491
2019-08-06,625.049988,640.000000,625.049988,635.250000,552.167969,4631
2019-08-07,632.000000,643.150024,632.000000,635.349976,552.254883,2056
