Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,570.299988,580.549988,564.400024,567.599976,566.015259,3587834
2022-05-05,570.500000,577.400024,563.500000,569.750000,568.159302,3860357
2022-05-06,555.000000,573.750000,555.000000,565.950012,564.369934,3969111
2022-05-09,558.150024,569.000000,557.500000,563.849976,562.275757,2774773
2022-05-10,561.000000,572.900024,558.000000,559.200012,557.638733,3953646
2022-05-11,559.500000,575.700012,559.500000,563.549988,561.976563,4283207
2022-05-12,560.099976,564.650024,544.299988,547.250000,545.722107,3079554
2022-05-13,555.000000,565.849976,548.049988,550.750000,549.212341,3154166
2022-05-16,552.099976,557.750000,544.200012,549.700012,548.165283,1260662
2022-05-17,549.849976,556.849976,542.500000,554.849976,553.300842,2057634
2022-05-18,555.000000,558.549988,547.549988,550.000000,548.464417,2377852
2022-05-19,542.500000,547.400024,525.400024,528.700012,527.223938,3998270
2022-05-20,534.000000,547.349976,532.000000,544.700012,543.179260,2607708
2022-05-23,544.000000,556.200012,542.650024,551.150024,549.611267,3094798
2022-05-24,551.150024,556.000000,545.650024,552.900024,551.356384,3835802
2022-05-25,557.700012,571.549988,556.599976,569.099976,567.511108,5339885
2022-05-26,568.099976,581.000000,563.150024,578.049988,576.436096,3444955
2022-05-27,582.000000,604.299988,577.400024,598.099976,596.430115,8795852
2022-05-30,605.650024,613.400024,599.299988,608.900024,607.200012,5399271
2022-05-31,607.000000,607.500000,596.099976,598.950012,598.950012,5609885
2022-06-01,598.950012,609.000000,596.650024,607.150024,607.150024,4893225
2022-06-02,604.000000,609.549988,591.200012,607.900024,607.900024,5252011
2022-06-03,613.000000,617.450012,600.299988,602.700012,602.700012,3679222
2022-06-06,601.950012,614.500000,601.049988,606.099976,606.099976,3348790
2022-06-07,607.000000,607.150024,593.049988,605.299988,605.299988,1652408
2022-06-08,602.299988,608.900024,596.049988,599.950012,599.950012,2129427
2022-06-09,595.500000,606.900024,592.000000,604.900024,604.900024,2320898
2022-06-10,601.799988,603.799988,591.549988,593.099976,593.099976,1988641
2022-06-13,581.549988,590.000000,579.549988,582.000000,582.000000,2280937
