,Call Strike,OI of Call,Change_oi in Call,Call ltp,Put Strike,OIPut,Change_oi in Put,Put ltp,Cost,Cost Per Lot,Arbitrage Diff,Arbitrage percent in Spot,Arbitrage percent in Cost
32,45600.0,3584900.0,1722975.0,29.2,45300.0,2801750.0,573900.0,210.05,239.25,5981.25,-539.25,-1.1934019313525555,-2.2539184952978055
33,45100.0,2374975.0,1930075.0,209.0,44800.0,3248775.0,820475.0,39.7,248.7,6217.5,-548.6999999999971,-1.2143155117907163,-2.206272617611569
34,45400.0,4535250.0,2639075.0,69.9,45000.0,7724850.0,4165800.0,81.3,151.2,3779.9999999999995,-551.2000000000044,-1.2198482050283426,-3.6455026455026744
35,45500.0,6027700.0,2723900.0,45.5,45100.0,4001700.0,2254300.0,113.15,158.65,3966.25,-558.6500000000015,-1.236335630876415,-3.521273242987718
36,45300.0,5254300.0,3348375.0,105.3,44900.0,3096150.0,1801275.0,56.85,162.15,4053.75,-562.1500000000015,-1.2440814014090695,-3.466851680542716
37,45600.0,3584900.0,1722975.0,29.2,45200.0,5573200.0,3331225.0,155.75,184.95,4623.75,-584.9499999999971,-1.2945395637360664,-3.162746688294118
38,45200.0,5808700.0,4299350.0,150.55,44800.0,3248775.0,820475.0,39.7,190.25,4756.25,-590.25,-1.306268873399807,-3.102496714848883
39,45700.0,3450825.0,1492750.0,18.95,45400.0,1194400.0,265575.0,275.05,294.0,7350.0,-594.0,-1.3145679132562225,-2.020408163265306
40,45000.0,2440075.0,1173100.0,276.9,44700.0,2593750.0,641550.0,28.35,305.25,7631.25,-605.25,-1.339465032825469,-1.9828009828009827
41,45400.0,4535250.0,2639075.0,69.9,44900.0,3096150.0,1801275.0,56.85,126.75,3168.75,-626.75,-1.3870461946689183,-4.944773175542406
42,45500.0,6027700.0,2723900.0,45.5,45000.0,7724850.0,4165800.0,81.3,126.8,3170.0,-626.8000000000029,-1.3871568485336767,-4.943217665615165
43,45700.0,3450825.0,1492750.0,18.95,45300.0,2801750.0,573900.0,210.05,229.0,5725.0,-629.0,-1.3920256185827675,-2.7467248908296944
44,45100.0,2374975.0,1930075.0,209.0,44700.0,2593750.0,641550.0,28.35,237.35,5933.75,-637.3499999999985,-1.410504813996383,-2.685274910469764
45,45600.0,3584900.0,1722975.0,29.2,45100.0,4001700.0,2254300.0,113.15,142.35,3558.75,-642.3499999999985,-1.4215702004716038,-4.512469265893913
46,45300.0,5254300.0,3348375.0,105.3,44800.0,3248775.0,820475.0,39.7,145.0,3625.0,-645.0,-1.427434855303474,-4.448275862068965
47,45700.0,3450825.0,1492750.0,18.95,45200.0,5573200.0,3331225.0,155.75,174.7,4367.5,-674.6999999999971,-1.4931632509662784,-3.8620492272466924
48,45200.0,5808700.0,4299350.0,150.55,44700.0,2593750.0,641550.0,28.35,178.9,4472.5,-678.9000000000015,-1.5024581756054736,-3.7948574622694324
49,45800.0,2359900.0,438450.0,13.05,45400.0,1194400.0,265575.0,275.05,288.1,7202.500000000001,-688.1000000000058,-1.5228184867198895,-2.3884068031933556
50,45000.0,2440075.0,1173100.0,276.9,44600.0,2667550.0,780250.0,20.15,297.04999999999995,7426.249999999999,-697.0500000000029,-1.5426255285105281,-2.3465746507322103
51,45500.0,6027700.0,2723900.0,45.5,44900.0,3096150.0,1801275.0,56.85,102.35,2558.75,-702.3499999999985,-1.5543548381742525,-6.862237420615521
52,45400.0,4535250.0,2639075.0,69.9,44800.0,3248775.0,820475.0,39.7,109.60000000000001,2740.0,-709.5999999999985,-1.5703996485633227,-6.474452554744512
53,45600.0,3584900.0,1722975.0,29.2,45000.0,7724850.0,4165800.0,81.3,110.5,2762.5,-710.5,-1.5723914181288652,-6.429864253393665
54,45800.0,2359900.0,438450.0,13.05,45300.0,2801750.0,573900.0,210.05,223.10000000000002,5577.500000000001,-723.1000000000058,-1.6002761920464343,-3.2411474675033873
55,45100.0,2374975.0,1930075.0,209.0,44600.0,2667550.0,780250.0,20.15,229.15,5728.75,-729.1500000000015,-1.613665309681442,-3.181976871045173
56,45700.0,3450825.0,1492750.0,18.95,45100.0,4001700.0,2254300.0,113.15,132.1,3302.5,-732.0999999999985,-1.6201938877018158,-5.542013626040867
57,45300.0,5254300.0,3348375.0,105.3,44700.0,2593750.0,641550.0,28.35,133.65,3341.25,-733.6500000000015,-1.6236241575091408,-5.489337822671167
58,45800.0,2359900.0,438450.0,13.05,45200.0,5573200.0,3331225.0,155.75,168.8,4220.0,-768.8000000000029,-1.7014138244299453,-4.554502369668263
59,45200.0,5808700.0,4299350.0,150.55,44600.0,2667550.0,780250.0,20.15,170.70000000000002,4267.5,-770.7000000000044,-1.7056186712905326,-4.514938488576475
